Date,Username,Location,Text
2021-02-01 10:04:16,kurikurikur,,@BiznetHome @BiznetNetworks internet putus sekali sebulan. kali ini putus pas ditelepon tanya teknisi kapan dateng?… https://t.co/Nz5QjAGKfK
2021-02-01 10:01:44,aqyeji,Juwana,"@twiceconfess Jancok cakepnya kek paket biznet, unlimited 😭"
2021-02-01 09:23:23,gangberry7chill,,"@BiznetHome min, biznet daerah denpasar bali lagi eror kah?"
2021-02-01 09:08:33,mayofgale,,BIZNET KITA KEMUSUHAN ANJG SUMPAH
2021-02-01 08:34:13,BiznetHome,Indonesia,@Bunglonnim @Bunglonnim Sudah mimin cek modem kamu aktif tidak ada indikasi kendala apakah dilokasi ada perangkat r… https://t.co/jQT067M7G5
2021-02-01 07:34:23,BiznetHome,Indonesia,"@bapakkupns Hi @bapakkupns, bisa mimin bantu terkait layanan Biznet? Thanks. ^aml"
2021-02-01 07:34:02,irfandhiaa,,biznet lg dongo nih
2021-02-01 07:09:14,beybeys_,he/him,wah asu biznet blm bisa di rmh gw
2021-02-01 07:03:35,aziznala,"Madiun, Jawa Timur",@D_Dirhamsyah Ganti biznet ae wkwk
2021-02-01 06:55:05,eveeys_,Labtek IX-B,@joannaadeline biznet katanya cepet jo
2021-02-01 06:38:36,budew__,,@PutraRzq Kayaknya biznet nih koh
2021-02-01 06:20:14,ngIMAMin,"Matraman, Indonesia",@Nusadaaa Gw biznet bukan indihomo 😩
2021-02-01 05:24:32,heloguno,jakarta,"@elmiraeff @IndiHome Iya el keknya kalo ga mau ditinggal pelanggannya, pelayanan dan koneksi stabilnya harus diting… https://t.co/GBUukRCd3V"
2021-02-01 05:11:44,NSumono,"Selorejo, Indonesia","@BiznetHome Kapan ada perluasan wilayah ,kami juga pingin merasakan kualitas Biznet"
2021-02-01 04:41:32,claudioagusta,Among the beautiful seas,@gumwybear My republic &amp; biznet blm ada? Yaampun menderita bgt yaa jd pelanggan 1st media itu 🤭
2021-02-01 04:33:54,richigganjur,Jakarta Capital Region,@nhjulianti @NetflixID @IndiHome @terserahpodcast Ganti kek mi pake biznet. Gua tiap kerumah lu lemot. Lama bgt update hp gua
2021-02-01 04:33:17,ronaldhonarto,0431 ; 021,Dan biznet error lagi 😑
2021-02-01 04:25:54,sotomidouble,"Jakarta,Indonesia",@n0nchalantIy @FirstMediaCares Emang ngentot udeh ganti biznet aje
2021-02-01 03:58:46,6mffdd,Indonesia,"karna pake 2 provider internet, selama ngelapor ada masalah, teknisi #indiehome jauh lebih cepet datangnya daripada… https://t.co/Ewrgp985cD"
